"","Allocated.Time","Web.or.Phone","Answered.by.specialist","Holiday.Type","Accom.type","Dep.Airport","Lead.Time","Destination","Duration","Adults","Children","Transport.Type","Answered.Q","Notes.Completed","Title","Enquiry.Comments","Booked.Status","EnquiryYear","EnquiryMonth","EnquiryDay","EnquiryWeekday","DepYear","DepMonth","DepDay","DepWeekday","Enquiry.Timecat","Enquiry.Time_class","DepartureSeason","Gender"
"1","Extremely Fast","PHONE","0","A","grade1","Lon All",50," JH Area",14,6,2,"A","YES","NO","Mrs","NO","1","2017","1",1,"Sunday","2017","12",19,"Tuesday","Business_Hour","afternoon","winter","F"
"2","Extremely Fast","PHONE","0","C","grade1","Any Airport",14," AB",10,2,2,"None Required","NO","NO","Mrs","NO","1","2017","1",1,"Sunday","2017","4",10,"Monday","Business_Hour","morning","spring","F"
"3","Extremely Fast","PHONE","0","A","grade1","GG",40," AC",14,4,1,"A","NO","NO","Mrs","NO","1","2017","1",1,"Sunday","2017","10",14,"Saturday","Business_Hour","afternoon","fall","F"
"4","Slow","WEB","0","A","grade1","MCH",13," AB",14,2,1,"A","YES","NO","Mrs","NO","0","2017","1",1,"Sunday","2017","4",8,"Saturday","Closed","morning","spring","F"
"5","Slow","WEB","0","A","grade1","Lon Gat",74," AC",14,7,1,"A","YES","NO","Mr","NO","0","2017","1",1,"Sunday","2018","6",7,"Thursday","Closed","morning","summer","M"
"6","Extremely Fast","WEB","1","B","grade1","Lon Gat",66," AB",14,6,2,"A","YES","NO","Mrs","NO","0","2017","1",2,"Monday","2018","4",11,"Wednesday","Closed","night","spring","F"
"7","Extremely Fast","WEB","1","A","grade2","Lon All",42," AB",10,2,0,"None Required","NO","NO","Mrs","NO","0","2017","1",3,"Tuesday","2017","10",22,"Sunday","Closed","night","fall","F"
"8","Slow","WEB","0","A","grade2","Lon All",39," AC",14,3,1,"B","YES","NO","Miss","NO","0","2017","1",3,"Tuesday","2017","10",5,"Thursday","Business_Hour","night","fall","F"
"9","Extremely Fast","PHONE","0","B","grade2","Lon All",50," AC",13,2,2,"B","YES","NO","Mrs","NO","1","2017","1",4,"Wednesday","2017","12",20,"Wednesday","Business_Hour","morning","winter","F"
"10","Slow","WEB","0","A","grade1","MCH",39," JH Area",14,7,2,"A","YES","NO","Mrs","NO","0","2017","1",4,"Wednesday","2017","10",7,"Saturday","Business_Hour","morning","fall","F"
